Name;Kategorie;Art;Attribute für die Handlung;Limit;Benötigte Marken;Attribute für die Verteidigung;Erläuterung
Abschneiden;Matrixhandlung;Komplexe Handlung;Matrixkampf + Logik;Angriff;Keine;Willenskraft + Firewall;"Das Ziel dieser Handlung muss eine Persona sein, die nicht in der VR läuft. Abschneiden schaltet alle Funktionen ab, die mit dem PAN des Ziels zu tun haben. Physische Geräte funktionieren noch: Smartguns können noch schießen, Chemoanzüge bieten noch Schutz, aber nur ohne WiFi- oder PAN-bezogene Funktionen. Diese Wirkung hält an, bis dem Ziel eine Ausgedehnte Probe auf Computer + Logik [Datenverarbeitung] (Nettoerfolge des Hackers, Einfache Handlung) gelingt. Das Ziel kann sein Gerät mit einer Komplexen Handlung auch einfach neu starten; das Gerät ist dann am Ende der nächsten Kampfrunde wieder online. Ein Patzer bei der Ausgedehnten Probe zur Reparatur des Geräts führt zu einem zusätzlichen Nettoerfolg für die Probe des Hackers. Ein Kritischer Patzer sorgt dafür, dass auf allen Geräten innerhalb des PANs die Betriebssysteme neu installiert werden müssen. Das dauert mehrere Stunden und benötigt eine Verbindung zu einem Gerät, auf dem eine Persona laufen kann."
Ausstöpseln;Matrixhandlung;Einfache Handlung;Hardware + Willenskraft;Firewall;Besitzer;Logik + Angriff;Durch diese Handlung wird der Charakter von der Matrix getrennt, und sein Zugangsgerät wird neu gestartet. Wenn er in der VR war und nicht zuerst in die AR gewechselt ist, erleidet er Auswurfschock (S. 226). Die Probe ist nur dann eine Vergleichende Probe, wenn der Charakter von jemandem mit einer Linksperre (S. 226) belegt wurde. Dann ist das Icon, das seine Verbindung sperrt, der Verteidiger. Wenn mehr als eine Persona den Charakter mit einer Linksperre belegt hat, muss er jeden Gegner einzeln besiegen. Er legt eine einzelne Probe ab, und jeder Gegner legt eine eigene Verteidigungsprobe ab. Man kann nur sich selbst ausstöpseln. Man kann niemanden auswerfen, es sei denn, man setzt ihn durch Matrixschaden außer Gefecht.
Befehl vortäuschen;Matrixhandlung;Komplexe Handlung;Hacking + Intuition;Schleicher;1;Firewall + Logik;Der Charakter täuscht vor, der Besitzer des Geräts zu sein und ihm legitime Befehle zu erteilen. Dafür braucht er eine Marke auf dem Icon des Besitzers, nicht dem des Geräts. Die Gegenseite wehrt sich aber basierend auf dem Gerät. Dieser Trick funktioniert nur bei Geräten oder Agenten, nicht bei IC, Sprites, Hosts, Personas oder anderen Icons. Wenn der Charakter diese Handlung durchführt, kann er dem Gerät befehlen, etwas zu tun, was es normalerweise autonom oder semi-autonom tun kann. Ein Magschloss kann sich öffnen oder schließen, eine Smartgun kann ihren Ladestreifen auswerfen oder ihren Feuermodus ändern, eine Drohne kann Leute von ihrer Zielliste entfernen oder zu ihr hinzufügen – und das sind nur einige Beispiele. Die meisten Geräte können (anders als Agenten, bei denen Befehl Vortäuschen auch funktioniert) keine eigenen Matrixhandlungen wie Marke Einladen, Interfacemodus Wechseln oder Ausstöpseln durchführen, aber die meisten können sich neu starten oder Nachrichten übermitteln. Wenn der Spielleiter nicht sicher ist, ob ein Gerät in der Lage ist, den Befehl des Charakters auszuführen, kann er eine Probe auf Gerätestufe x 2 (mit einem Schwellenwert je nach Situation) ablegen, um herauszu nden, ob das Gerät den Befehl des Charakters versteht.
Brute Force;Matrixhandlung;Komplexe Handlung;Matrixkampf + Logik;Angriff;Keine;Willenskraft / Gerätestufe x 2 + Firewall;Mit dieser Handlung kann ein Charakter uneingeladen eine Marke auf einem Ziel platzieren. Diese Handlung wird von Hackern genutzt, die das Attribut Angriff dem Attribut Schleicher vorziehen (und ist mit dem Eiligen Hacken verwandt). Wenn der Charakter bei dieser Handlung Erfolg hat, platziert er eine Marke auf dem Ziel. Er kann auf einem Icon maximal 3 Marken platzieren. Wenn er will, kann er dem Ziel außerdem pro volle 2 Nettoerfolge 1 Kästchen Matrixschaden zufügen, wenn es Matrixschaden erleiden kann. Diesem Schaden wird mit Gerätestufe + Firewall widerstanden. Vor dem Würfeln kann der Charakter ansagen, dass er mehr als eine Marke auf einmal platzieren will. Wenn er 2 Marken gleichzeitig platzieren will, erhält er einen Würfelpoolmodi-  kator von -4 auf die Probe. Wenn er es mit 3 Marken auf einmal versucht, beträgt der Malus -10. Ein Charakter kann mit dieser Handlung auch in ein Gitter wechseln, zu dem er keinen legalen Zugang hat. Der Verteidigungspool dagegen beträgt 4 für ein lokales Gitter und 6 für ein globales Gitter. Wenn dem Charakter die Probe gelingt, platziert er keine Marke auf dem Gitter, sondern springt sofort in das entsprechende Gitter. Ein erfolgreicher Gitterwechsel mit Brute Force alarmiert das Gitter oder seinen Halbgott nicht in gleicher Weise, wie das die meisten anderen erfolgreichen Angriffshandlungen tun (s. Das Bemerken von Hackern, S. 232)
Datei cracken;Matrixhandlung;Komplexe Handlung;Hacking + Logik;Angriff;1;Schutzstufe der Datei x 2;Der Charakter knackt mit dieser Handlung den Schutz einer Datei, wodurch sie lesbar und editierbar wird. Bei einer ungeschützten Datei muss diese Handlung natürlich nicht durchgeführt werden.
Datei editieren;Matrixhandlung;Komplexe Handlung;Computer + Logik;Datenverarbeitung;1;Firewall + Intuition / Hoststufe;Diese Handlung erlaubt es, Dateien zu erstellen, zu ändern, zu kopieren, zu schützen oder zu löschen. Der Verteidiger bei dieser Probe ist entweder der Host, auf dem die Datei liegt, oder der Besitzer der Datei (wenn sie sich nicht auf einem Host be ndet). Mit jeder Handlung kann ein Detail der Datei verändert werden: ein kurzer Absatz Text, ein Detail eines Bilds oder zwei bis drei Sekunden Video oder Audio (Sie müssen gemeinsam mit dem Spielleiter festlegen, was genau gemacht werden kann). Der Spielleiter kann einen Malus für diese Probe festlegen, wenn komplexe oder schwierige Änderungen vorgenommen werden sollen. Wenn der Charakter eine Datei fortlaufend ändern (also etwa sein Team aus einer Videoübertragung entfernen) will, muss er diese Handlung einmal pro Kampfrunde durchführen, solange er diese Änderungen vornehmen will. Wenn der Charakter diese Handlung einsetzt, um eine Datei zu kopieren, wird er zum Besitzer der Kopie. Wenn die Datei, die er zu kopieren versucht, geschützt ist, scheitert die Handlung automatisch. Wenn die Datei eine Datenbombe hat, wird diese gezündet (man sollte also Dateien immer überprüfen, bevor man sie öffnet). Wenn der Charakter der Besitzer einer Datei ist, kann er sie mit dieser Handlung auch schützen. Um eine Datei zu schützen, ist eine Erfolgsprobe auf Computer + Logik [Datenverarbeitung] erforderlich. Die Anzahl der Erfolge dabei wird zur Schutzstufe der Datei. Eine geschützte Datei kann nicht gelesen, verändert, gelöscht oder kopiert werden, bevor der Schutz durchbrochen wurde
Datenbombe entschärfen;Matrixhandlung;Komplexe Handlung;Software + Intuition;Firewall;Keine;Stufe der Datenbombe x 2;Der Charakter versucht, eine Datenbombe zu entschärfen, die er (gewöhnlich durch eine Matrixwahrnehmungsprobe) entdeckt hat. Wenn er Nettoerfolge erzielt, wird die Datenbombe entschärft und gelöscht. Wenn nicht, wird sie aktiviert, verursacht Schaden und löscht vielleicht die Datei, in die sie eingep anzt wurde (wenn das in ihrem Code vorgesehen ist)
Datenbombe legen;Matrixhandlung;Komplexe Handlung;Software + Logik;Schleicher;1;Gerätestufe x 2;Software + Logik [Schleicher] gegen Gerätestufe x 2 Der Charakter platziert eine Datenbombe in einer Datei. Wenn er das tut, legt er die Stufe der Datenbombe fest, die maximal so hoch sein kann wie die Anzahl seiner Nettoerfolge bei der Probe. Außerdem muss er festlegen, ob die Datenbombe die verminte Datei löschen soll, wenn sie aktiviert wird, und er muss ein Passwort festlegen, das die Datenbombe davon abhält, hochzugehen. Eine Datei kann nur eine Datenbombe gleichzeitig enthalten. Die Datenbombe wird ausgelöst, wenn jemand ohne Benutzung des Passworts versucht, die Datei zu lesen, zu verändern, zu kopieren, zu schützen oder zu löschen oder eine andere Datenbombe darin zu legen. Wenn eine Datenbombe hochgeht, verursacht sie (Stufe x W6) Matrixschaden beim auslösenden Icon (das dem Schaden wie gewohnt widersteht), löscht die Datei (wenn sie so eingestellt ist) und anschließend sich selbst. Wenn das Passwort benutzt wird, aktiviert sich die Datenbombe nicht. Stattdessen bleibt sie in der Datei und wartet auf den nächsten Zugriff. Eine Datenbombe kann mit Matrixwahrnehmung entdeckt werden. Wenn sie entdeckt ist, kann sie mit der Handlung Datenbombe Entschärfen entschärft werden. Eine entschärfte Datenbombe wird gelöscht.
Datenspike;Matrixhandlung;Komplexe Handlung;Matrixkampf + Logik;Angriff;Keine;Firewall + Intuition;Der Charakter schickt Schadcode gegen eine Persona oder ein Gerät, was beim Ziel zu Matrixschaden führt. Sein Angriff hat einen Schadenscode gleich der Stufe seines Matrixattributs Angriff, der pro Nettoerfolg um 1 Kästchen erhöht wird. Außerdem erhöht jede Marke, die der Charakter auf dem Ziel platziert hat, den Schaden ebenfalls um 2 Kästchen. Dieser Schaden ist Matrixschaden (siehe S. 225), dem mit Gerätestufe + Firewall widerstanden wird.
Dienstverweigerung;Matrixhandlung;Einfache Handlung;Matrixkampf + Logik;Angriff;s. Beschreibung;Firewall + Willenskraft;Feindliche Waffen mit aktiviertem WiFi werden beinahe nutzlos, wenn du die Datenströme mit Rauschen verseuchst. Ein Decker oder Technomancer kann ein Gerät oder PAN, das über WiFi aktiv ist, als Ziel auswählen. Dafür legt er eine Vergleichende Probe auf Computer + Intuition [Datenverarbeitung] gegen Willenskraft + Firewall des Ziels ab. Gelingt die Probe, erhält das Ziel bis zum Beginn der nächsten Kampfrunde die doppelte Anzahl der Nettoerfolge als Würfelpoolmalus auf alle Proben, die mit dem Gerät durchgeführt werden. Für jede Marke, die der Decker oder Technomancer auf einem gegnerischen PAN platziert hat, kann er diesen Effekt auf zwei zusätzliche Slaves des PANs ausdehnen.
